title;url;stars;name;reviewUrl;text
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Tirta KS;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pKV1FXbENhRTVaYXkxUWVYbGtSRTFyV0hsdE5YYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOjJWQWlCaE5Zay1QeXlkRE1rWHltNXc%7C0d6vWM2kgRi%7C?hl=en;Makanan cukup ok dan minuman panas ada jahe2an, tempat tidak terlalu besar ada indoor dan semi outdoor
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Syahputra Angga;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xJeVUyVlVhRkIwTjNoWFJqZFpaVkZKVldScmFHYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOlIyU2VUaFB0N3hXRjdZZVFJVWRraGc%7C0d6MqXP2BzU%7C?hl=en;Best sate komoh dan nasi pecel dgn porsi besar menurut saya dan pelayanan baik dari kak putri
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Kevin;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xCS1JGZFBaV0ZYZEdGMlNXNTVSVEZQWjNGRGMyYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOlBKRFdPZWFXdGF2SW55RTFPZ3FDc2c%7C0d66GLT_XKN%7C?hl=en;
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Zulaikha;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2xaUlpEWTBMVzAxYTBaVlRFNUhaa0pMVERNNWRHYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOlZRZDY0LW01a0ZVTE5HZkJLTDM5dGc%7C0d5cbj5WAJW%7C?hl=en;delicious food and good ambiance. very good customer service.. will visit again
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Rafika V.;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT21SVlltSmtTSGgwYUY5UVpVVkphREZEUTJsdE5YYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOmRVYmJkSHh0aF9QZUVJaDFDQ2ltNXc%7C0d5QSh2-6TP%7C?hl=en;Pelayan Rahma
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Pungki Arya Tama;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2psNU9VOXlYMnhMTjNScVpVTjJVVU5TTm5KMU4zYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOjl5OU9yX2xLN3RqZUN2UUNSNnJ1N3c%7C0d5PsecUvyu%7C?hl=en;
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Yessa Aprily Wulandari;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2pGcWVuTnlRMFI0YmtKb1VqbGxTWEpTZFVacFdWRRAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOjFqenNyQ0R4bkJoUjllSXJSdUZpWVE%7C0d5Pp8TcOtQ%7C?hl=en;
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Eka Yanti;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT25GaFZHTkVXV0p5TUdwbE4wRjNSRlZNUVdKM1RXYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOnFhVGNEWWJyMGplN0F3RFVMQWJ3TWc%7C0d5MKKlznCy%7C?hl=en;
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Zaky Irfan;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT205MmNtRkZZVVY1Y0dsb1FqRkVRbVJaVG1SM2FtYxAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOm92cmFFYUV5cGloQjFEQmRZTmR3amc%7C0d3n519gtoE%7C?hl=en;Delicious and clean, very well executed presentation of Nusantara cuisine. Indulging all five senses
Bijan Restoran Nusantara;https://www.google.com/maps/search/?api=1&query=Bijan%20Restoran%20Nusantara&query_place_id=ChIJy41e57PnaC4R394zNERkNOc;5;Herman Winarta;https://www.google.com/maps/reviews/data=!4m8!14m7!1m6!2m5!1sCi9DQUlRQUNvZENodHljRjlvT2paQ05WbzFNM1pzVEd0ME9YbG1SVzExWjNSSk1WRRAB!2m1!1s0x0:0xe73464443433dedf!3m1!1s2@1:CAIQACodChtycF9oOjZCNVo1M3ZsTGt0OXlmRW11Z3RJMVE%7C0d3Rp1O-qLA%7C?hl=en;Enak
